,types,complaints,Commnet,cleanmsg
790,Stress/Anxiety,What can I do about my severe social anxiety when my family doesn't believe in it?,,severe social anxiety family believe
791,Relationships,"Should I wait for this guy to make a move, or just move on?",,wait guy make move move
792,Family Conflict,"My daughter is in her 30s, not married, and pregnant. How can I break the news to the family?",,daughter married pregnant break news family
793,Intimacy,"I'm desperate for attention, and I don't know what to do about it",,desperate attention
794,Social Relationships,How can I become more understanding?,,become understand
795,Family Conflict,How can I get my mother to listen to me without her freaking out?,,mother listen without freak
796,Workplace issues,How do I assert myself with a boss who called me co-dependent?,,assert bos call co-dependent
797,Relationships,How can I be less dependent on my boyfriend?,,less dependent boyfriend
798,Behavioral Change,Do I have bipolar disorder?,,bipolar disorder
799,Stress/Anxiety,I am fearful of social situations and avoiding people all together,,fearful social situation avoid people together
800,Parenting,How can I help my kids get along?,,help kid along
801,Stress/Anxiety,Why can't I stop these thoughts?,,stop thought
802,Parenting,What are the long term effects of losing one's adopted mother?,,long term effect lose adopt mother
803,Relationships,I have been in a relationship for a year and 7 months these few weeks have been bad,,relationship year month week bad
804,LGBTQ,How do I go about asking my ex-girlfriend to expose me to her friends so I can come out finally?,,ask ex-girlfriend expose friend come finally
805,Anger Management,How can I control my anger?,,control anger
806,Relationships,My boyfriend feels that I have taken advantage of him,,boyfriend feel take advantage
807,Parenting,Should I tell my kids that Santa is real after their dad told them he is not?,,tell kid santa real dad told
808,Relationships,Should I give him another chance?,,give another chance
809,Anger Management,I need to know how to cope with misophonia before I go completely insane,,need cope misophonia completely insane
810,Relationships,Can someone love you and say hurtful things?,,someone love say hurtful thing
811,Trauma/Grief/Loss,How do I find happiness after my boyfriend passed away?,,find happiness boyfriend pass away
812,Anger Management,Why do I get random spurts of anger over petty things?,,random spurt anger petty thing
813,Social Relationships,Why is it so hard for me to be social?,,hard social
814,Relationships,There's this girl I've been dating for months,,'ve date month
815,Stress/Anxiety,What do I do when I have anxiety attacks?,,anxiety attack
816,Relationships,How can I like pets?,,pet
817,Behavioral Change,Why can't I change?,,change
818,LGBTQ,"I want to have sexual experiences with adults, male or female",,want sexual experience adult male female
819,Relationship Dissolution,Iâ€™ve been separated from my husband for six months and he still has not filed for divorce,,iâ€™ve separate six month still file divorce
820,Relationships,My best friend says she loves me but is talking to a random guy,,best friend say love talk random guy
821,Workplace issues,What can I do if my coworkers accuse me of mood swings?,,coworkers accuse mood swing
822,Depression,I feel like my life is pointless,,feel life pointless
823,Stress/Anxiety,How do I calm down during a panic attack?,,calm panic attack
824,Depression,Is this depression?,,depression
825,Relationship Dissolution,Iâ€™m having problems moving on,,iâ€™m problem move
826,Depression,How can I bring up my possible depression to my parents?,,bring possible depression parent
827,Depression,How do I get over a slump?,,slump
828,Relationships,Is it bad that I'm giving my ex-boyfriend another chance?,,bad give ex-boyfriend another chance
829,Stress/Anxiety,I think I empathize too much,,think empathize much
830,Self-esteem,I hate the way I look,,hate way look
831,Relationships,I feel like I can't control having inappropriate thoughts,,feel control inappropriate thought
832,Stress/Anxiety,Am I somehow stressing myself out?,,somehow stress
834,Workplace issues,How do I get over a friend/coworker?,,friend/coworker
835,Depression,Why do I crave depression?,,crave depression
836,Relationships,My ex-boyfriend put himself on a dating website because he thought I wasn't interested,,ex-boyfriend put date website thought interested
837,Relationships,I'm having a hard time with a breakup,,hard time breakup
839,Self-esteem,How can I get past the hurt of being told by various significant others that I wasn't good enough to have a baby with?,,past hurt told various significant others good enough baby
840,Stress/Anxiety,Why do I throw all my stuff away?,,throw stuff away
841,Relationships,Is it acceptable for me to find another home for my boyfriend's dog?,,acceptable find another home boyfriend dog
842,Family Conflict,"I feel like I'm putting my full effort in my studies, but no one thinks that I am",,feel put full effort study think
843,Parenting,My brother's ex-girlfriend doesn't want her son to see us anymore,,brother ex-girlfriend want son see anymore
844,Stress/Anxiety,How can I slow down and enjoy life?,,slow enjoy life
845,Relationships,How do I get my girlfriend back?,,girlfriend back
846,Trauma/Grief/Loss,How do I cope with losing my mom,,cope lose mom
847,Family Conflict,Keeping secrets from my family,,keep secret family
848,Intimacy,Is there a reason I have always been attracted to men much older then me?,,reason always attract men much old
849,Family Conflict,Some adult family members are acting erratically in my house,,adult family member act erratically house
850,Intimacy,Why do I always think my girl is cheating on me?,,always think cheat
851,Relationships,What can I do when I canâ€™t stand being alone?,,canâ€™t stand alone
853,Relationships,I don't know where the lines should be drawn with my boyfriend's ex,,line drawn boyfriend
854,LGBTQ,How do I tell my parents that I'm gay?,,tell parent gay
855,Relationships,I cheated on my husband with one of his good friends a few years ago,,cheat good friend year ago
856,Stress/Anxiety,How can I deal with my paranoia?,,deal paranoia
857,Family Conflict,Is it normal to hate my mom?,,normal hate mom
858,Stress/Anxiety,What should I do about my stress before track meets?,,stress track meet
859,Family Conflict,I want to get back with my kid's mother and be a family again,,want back kid mother family
860,Depression,I feel guilty because I didn't say no to a guy's advances,,feel guilty say guy advance
861,LGBTQ,How can I deal with gender dysphoria in a positive way?,,deal gender dysphoria positive way
862,Relationships,What should I do if my boyfriend can't get over my past?,,boyfriend past
863,Relationships,Should I be with the man who is good for me and my children or the man I love?,,man good child man love
864,Anger Management,How can I stop being so angry?,,stop angry
865,Family Conflict,My parents are threatening to get rid of the only things I still care about,,parent threaten rid thing still care
866,Behavioral Change,How do I know if I have bipolar disorder?,,bipolar disorder
867,LGBTQ,Am I gay if I like neither girls nor guys?,,gay neither girl guy
868,Intimacy,I'm disgusted by my own fetish,,disgust fetish
869,Self-esteem,How do I cope with the feelings like I'm not good enough?,,cope feeling good enough
870,Intimacy,How do I deal with sexual tension?,,deal sexual tension
871,Behavioral Change,How can I concentrate?,,concentrate
872,Trauma/Grief/Loss,Can implanted thoughts be reversed at all?,,implant thought reverse
873,Substance Abuse/Addiction,How can I stop bulimia after 6 years?,,stop bulimia year
874,Depression,I feel like my existence is meaningless,,feel existence meaningless
875,Family Conflict,How should I deal with my mom's controlling behavior?,,deal mom control behavior
876,Family Conflict,How can I get over my mom and her girlfriend's breakup?,,mom girlfriend breakup
877,Family Conflict,Is there anything I can do to help my siblings escape our emotionally abusive father?,,anything help sibling escape emotionally abusive father
878,Relationships,I don't know how to deal with my boyfriend's father,,deal boyfriend father
879,Counseling Fundamentals,How do I approach my doctor about seeing a therapist?,,approach doctor see therapist
880,Relationships,How do I start talking again after a fight?,,start talk fight
881,Relationships,How can I handle my boyfriend being reported missing?,,handle boyfriend report miss
882,Relationships,I'm having a lot of conflict in my relationship,,lot conflict relationship
883,Anger Management,Why am I so mad?,,mad
884,Stress/Anxiety,How can I get over social anxiety?,,social anxiety
885,Parenting,How can I deal with my daughter's rebellious behavior?,,deal daughter rebellious behavior
886,Family Conflict,Why does my mom show more love to my brothers than me?,,mom show love brother
887,Depression,How can I tell If I have depression?,,tell depression
888,Depression,How can I resist the urge to cut?,,resist urge cut
889,Trauma/Grief/Loss,Can hypnosis allow me to recall trauma from 35 years ago?,,hypnosis allow recall trauma year ago
890,Relationships,"I'm with someone, but I have unresolved feelings for my ex-boyfriend",,someone unresolved feeling ex-boyfriend
891,Intimacy,How can I fix my trust issues with my wife?,,fix trust issue
892,Behavioral Change,How can I stop being so emotional all the time over worthless stuff?,,stop emotional time worthless stuff
893,Substance Abuse/Addiction,I hardly eat. But I gain weight instead of lose weight. Why?,,hardly eat gain weight instead lose weight
894,Trauma/Grief/Loss,How do I deal with my trauma?,,deal trauma
895,Relationships,How do I choose between two guys?,,choose guy
896,Behavioral Change,Why do I have dramatic mood swings?,,dramatic mood swing
897,Relationships,Should I just move on from my demanding girlfriend?,,move demand girlfriend
898,Stress/Anxiety,I can't have a drink without panicking,,drink without panic
899,Relationships,Dealing with an unfaithful and judgmental significant other,,deal unfaithful judgmental significant
900,LGBTQ,How can I know what my sexual orientation is?,,sexual orientation
901,Relationships,Should I get back together with my ex-boyfriend who has trust issues?,,back together ex-boyfriend trust issue
902,Behavioral Change,What are some physical signs of psychosis?,,physical sign psychosis
903,Depression,"I'm studying abroad, and I'm depressed",,study abroad depressed
904,Relationships,How do I tell my boyfriend I wanna be with him but not in a relationship?,,tell boyfriend wan relationship
905,Relationships,My ex-boyfriend and I broke up about 3 months ago and now he wants me back,,ex-boyfriend broke month ago want back
906,Stress/Anxiety,Why do I always feel like I'm being watched?,,always feel watch
908,Substance Abuse/Addiction,Am I anorexic?,,anorexic
909,Behavioral Change,Why don't I feel normal?,,feel normal
910,Family Conflict,My parents are threatening to send me away if I don't play basketball for a team I hate,,parent threaten send away play basketball team hate
911,Social Relationships,How do I stop a bully who adults wouldn't recognize as bullying without speaking to the bully?,,stop bully adult recognize bullying without speak bully
912,Depression,Is wishing I wasn't born a sign of something deeper?,,wish born sign something deeper
913,Depression,"How do I talk about my feelings of depression, and to who do I talk to?",,talk feeling depression talk
914,Relationships,How to help my best friend get over a break up?,,help best friend break
915,Relationships,My boyfriend thinks he's perfect and puts his friends before me,,boyfriend think perfect put friend
916,Substance Abuse/Addiction,How can I help my girlfriend who uses drugs ?,,help girlfriend drug
917,Behavioral Change,How can I get rid of my laziness?,,rid laziness
918,Depression,How can I stop feeling empty?,,stop feel empty
919,Depression,How can I get over my depression ?,,depression
920,Workplace issues,I feel I am been paid less salary than others,,feel paid less salary others
921,Anger Management,My roommate is a unapologetic person who doesn't care who she hurts. She never apologizes to me or my family. She made me lose my temper today to the point where I was using swear words in front of my mom and brother.,,roommate unapologetic person care hurt never apologizes family make lose temper today point use swear word front mom brother
922,Anger Management,I get angry and act out. It scares my wife and child.,,angry act scare child
923,Anger Management,"Sometime when small thing happen, like losing a comb, I get furious. I even start throwing things. Do I have a problem?",,sometime small thing happen lose comb furious even start throw thing problem
924,Anger Management,"Any time things get heated, the past gets brought up. I raise my voice at her to try to get a point across. ",,time thing heat past get brought raise voice try point across
925,Anger Management,"When I got home, my boyfriend and I got into an argument. He got upset and he started hitting his face. That is the first time he has ever done that, but I would be lying if I said that didn't scare me. I locked myself in the room.",,get home boyfriend get argument get upset start hit face first time ever lie scare lock room
926,Depression,Everything just makes me upset.,,everything make upset
927,Anger Management,I get really mad easily at my parents and family.,,really mad easily parent family
928,Anger Management,My long-term girlfriend broke up with me recently. She says it's because of my anger.,,long-term girlfriend broke recently say anger
929,Anger Management,"My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but violent thoughts like horrible things happening to his loved ones.",,son claim extremely violent thought dream violent hurt someone violent thought horrible thing happen love one
930,Anger Management,I been having anger problems a lot lately. It only takes one word wrongly said to set me off.,,anger problem lot lately take word wrongly set
931,Anger Management,"I have not been able to really sleep. I stay up all times of the night not even knowing why. Every day, I feel like I have anger inside of me. I have a little family, but I can't open up to them like I want to. I have a son, and I feel that I take my anger out on him by screaming at him.",,able really sleep stay time night even know every day feel anger inside little family open want son feel take anger scream
932,Anger Management,"My issue isn't resisting angry urges; it's the anger itself. My rage is extreme and vastly disproportionate to the direct stressor. It causes violent thoughts, but I never act. I stay lucid enough to know the rage is violent, not me. I don't want to drown myself in anger and resentment.",,issue resist angry urge anger rage extreme vastly disproportionate direct stressor cause violent thought never act stay lucid enough rage violent want drown anger resentment
933,Anger Management,"Whenever I run into a situation that makes me upset or angry, I tend to start cursing and badly offending the person I am confronting. I say mean things to let my anger out. ",,whenever run situation make upset angry tend start curse badly offend person confront say mean thing anger
934,Anger Management,I don't know how to notice or express my feelings besides anger. That's really the only one i feel.,,notice express feeling besides anger really feel
935,Anger Management,"The sounds of eating and breathing gives me headachesÃ¢â‚¬â€mostly mouth breathing and snoring. It makes me angry, and I want to solve it myself.",,sound eat breathing give headachesã¢â‚¬â€mostly mouth breathing snore make angry want solve
936,Anger Management,"I need answers to my anger, possessiveness, and urges.
 I am angry all the time. I push people away so much that I actually blow up on people now because they ask me how my day is or was. ",,need answer anger possessiveness urge angry time push people away much actually blow people ask day
937,Anger Management,"I have a really bad temper. I get mad very easily then stay like that the whole day. I don't mean to be that way, but I can't help it.",,really bad temper mad easily stay whole day mean way help
938,Anger Management,"I am so angry. I feel like the arguments with my parents have caused me so much anxiety and stress, and I don't know what to do. I want to sit down with a psychologist,",,angry feel argument parent cause much anxiety stress want sit psychologist
939,Anger Management,"I don't know what's with me. I'm almost constantly angry. Even when I'm happy, I still feel anger inside me. When I acknowledge it, it ruins my mood and takes over. I get angry at the littlest things. ",,almost constantly angry even happy still feel anger inside acknowledge ruin mood take angry little thing
940,Anger Management,"When I see something I donÃ¢â‚¬â„¢t like, I go off like a ticking time bomb. I go from 0 to 100 really quickly.",,see something donã¢â‚¬â tick time bomb really quickly
941,Anger Management,"Every time I speak, he says I anger him. Also, when hes mad at something, like work, he gets angry at me. I feel like weÃ¢â‚¬â„¢re so distant from each other now.",,every time speak say anger mad something work get angry feel weã¢â‚¬â ¢re distant
942,Anger Management,"I'm a teenager. I get random spurts of anger, like complete, pure rage. I figured it was hormones, but others notice it too. I get self-destructive. I used to cut but stopped. Now when I get mad, I bite my arms and fingers, pull my hair, scratch my face, or punch my thighs. ",,teenager random spurt anger complete pure rage figure hormone others notice self-destructive use cut stop mad bite arm finger pull hair scratch face punch thigh
944,Anger Management,Anger is usually pain and frustration which cannot be expressed directly to people in your surroundings.,,anger usually pain frustration express directly people surroundings
945,Anger Management,"If you give yourself the time to analyze why you experience anger, you will discover that there are other feelings underneath;  shame, frustration, disappointment, and fear are some of the feelings that we cover with anger ",,give time analyze experience anger discover feeling underneath shame frustration disappointment fear feeling cover anger
946,Anger Management,I easily recognize this but have no control over it and need suggestions for managing my anger.,,easily recognize control need suggestion manage anger
947,Anger Management," but I cannot afford one, nor do I have my own health insurance. I can feel myself starting to get violent. I throw things of value when I start to get mad. I have punched holes in my wall. I can feel my aggression getting worse.",,afford health insurance feel start violent throw thing value start mad punch hole wall feel aggression get bad
948,Anger Management,"Even if I think someone said something they didn't, it infuriates me. Something perfectly normal can make me go off. When my anger flares up, I get a terrible pain in my chest that lasts for a while. It's like there is a fire constantly burning in my body, and anger is gasoline.",,even think someone something infuriates something perfectly normal make anger flare terrible pain chest last fire constantly burning body anger gasoline
949,Counseling Fundamentals,"How do you know you have the right therapist for you?
 ",,right therapist
950,Counseling Fundamentals,"Is it normal for people to cry during therapy, or is it just me?",,normal people cry therapy
951,Counseling Fundamentals,What are the basic skills a good counselor needs to have?,,basic skill good counselor need
952,Counseling Fundamentals,What are some difficulties that a counselor can encounter when dealing with a client?,,difficulty counselor encounter deal client
953,Counseling Fundamentals,Does counseling really do anything that can help people?,,counsel really anything help people
954,Counseling Fundamentals,How does a person start the counseling process?,,person start counsel process
955,Counseling Fundamentals,"After first meeting the client, what is the process that a counselor facilitates?",,first meeting client process counselor facilitates
956,Counseling Fundamentals,"How would I know how to ""train"" my therapist to be able to give me what I need from treatment?",,train therapist able give need treatment
957,Trauma/Grief/Loss,What is the best way to cope with the loss of someone to suicide?,,best way cope loss someone suicide
959,Trauma/Grief/Loss,My past is holding me back from my future. How can I get my life back?,,past hold back future life back
960,Trauma/Grief/Loss,PTSD is impacting my whole life,,ptsd impact whole life
961,Trauma/Grief/Loss,How can I cope with the loss of someone I love?,,cope loss someone love
962,Trauma/Grief/Loss,How can I convince my mother to seek help for her obsessive-compulsive disorder?,,convince mother seek help obsessive-compulsive disorder
964,Trauma/Grief/Loss,Is it possible for a person to stop feeling emotions?,,possible person stop feel emotion
965,Trauma/Grief/Loss,How do I cope with posttraumatic stress disorder and its triggers?,,cope posttraumatic stress disorder trigger
966,Trauma/Grief/Loss,How do I move on from almost being raped?,,move almost rap
967,Trauma/Grief/Loss,How do I deal with all of my disorders?,,deal disorder
968,Trauma/Grief/Loss,How do I cope with losing a child?,,cope lose child
969,Trauma/Grief/Loss,I have nightmares and flashbacks about a past relationship,,nightmare flashback past relationship
970,Trauma/Grief/Loss,Can I get over PTSD on my own?,,ptsd
971,Trauma/Grief/Loss,Could a car accident add more problems to my posttraumatic stress disorder?,,could car accident add problem posttraumatic stress disorder
972,Trauma/Grief/Loss,How do I get over my fears of dying?,,fear die
973,Trauma/Grief/Loss,How can I deal with flashbacks of trauma?,,deal flashback trauma
974,Trauma/Grief/Loss,Should we put off kids until my husband is mentally cured?,,put kid mentally cure
975,Trauma/Grief/Loss,How do I remember and deal with things I did as a kid?,,remember deal thing kid
976,Trauma/Grief/Loss,Is it possible to get PTSD from being very depressed?,,possible ptsd depressed
977,Substance Abuse/Addiction,My husband was lying about drinking again,,lie drinking
978,Substance Abuse/Addiction,How do I help my husband get over his drinking addiction?,,help drinking addiction
979,Substance Abuse/Addiction,"I feel insecure, on edge, and drink too much",,feel insecure edge drink much
980,Substance Abuse/Addiction,How can I stop struggling with alcohol?,,stop struggle alcohol
981,Substance Abuse/Addiction,Why does it feel as if self-harm is an addiction?,,feel self-harm addiction
982,Substance Abuse/Addiction,How do you know if someone is an alcoholic?,,someone alcoholic
983,Substance Abuse/Addiction,How do I deal with my alcoholic boyfriend with a dark past?,,deal alcoholic boyfriend dark past
984,Substance Abuse/Addiction,How can I get away from my phone?,,away phone
985,Substance Abuse/Addiction,What can I do to help my dad stop drinking?,,help dad stop drinking
986,Substance Abuse/Addiction,I'm addicted to smoking. How can I stop?,,addict smoking stop
987,Substance Abuse/Addiction,I don't know if my ex-boyfriend is using opiates again,,ex-boyfriend use opiate
988,Substance Abuse/Addiction,What can I do about my children blaming me for their addictions?,,child blame addiction
989,Substance Abuse/Addiction,My brother is an addict. He has does nothing but ruin my family. I don't know how to cope with it anymore,,brother addict nothing ruin family cope anymore
990,Substance Abuse/Addiction,How can I stop abusing alcohol?,,stop abuse alcohol
991,Substance Abuse/Addiction,How can I rebuild the trust I destroyed from my porn addiction?,,rebuild trust destroyed porn addiction
992,Substance Abuse/Addiction,How can I train myself to stop eating when I'm full?,,train stop eat full
993,Substance Abuse/Addiction,"People can be addicted to alcohol, gambling, caffeine, drugs, sex, and many other things",,people addict alcohol gamble caffeine drug sex many thing
994,Substance Abuse/Addiction,I over endulge when I drink alcohol and feel extremely guilty about it the next day.,,endulge drink alcohol feel extremely guilty next day
995,Substance Abuse/Addiction,How can I handle my alcoholic son?,,handle alcoholic son
996,Social Relationships,"These ""jokes"" are made about everything. They seem to have the need to say something ""funny"" about everything. It's not funny, just awkward.",,joke make everything seem need say something funny everything funny awkward
997,Social Relationships,"My best friend and I were pranking her friend, and I told her to tell him that she likes him. She said no, but I forced her. After she told him, he told her that he likes her too. Their friendship is ruined because of me. She won't forgive me, and I feel really guilty. I feel like crying.",,best friend prank friend told tell like force told told like friendship ruin forgive feel really guilty feel cry
998,Social Relationships,"I was Ã¢â‚¬Å“mentoredÃ¢â‚¬Â by this guy for a few years spiritually. It was okay at times, but other times, it was just weird. I try not to think about it too much, but a lot of manipulation and lying happened, yet no one else really believed me when I told them. It's like he's two different people, and no one else really sees that side of him. I was blamed for a lot of our troubles, and now we don't really talk much. I'm worried because he's in a trusted position of leadership and no one suspects anything. They just think I'm attacking his character. How do I know for sure?",,ã¢â‚¬å mentoredã¢â‚¬â guy year spiritually okay time time weird try think much lot manipulation lie happen else really believe told different people else really see side blame lot trouble really talk much worried trust position leadership suspect anything think attack character sure
999,Social Relationships,"Every time I send a message to someone or a group message on Instagram, iMessage, or snapchat people will read my messages but then they won't answer me.    Could it be that there is something they don't like about me? I don't understand why they won't answer my messages. How do I get people to respond to me?",,every time send message someone group message instagram imessage snapchat people read message answer could something understand answer message people respond
1000,Social Relationships,"She mostly targets me on social media. The bullying used to be much worse, but it is still going on. The comments are so vague, but I know that they are meant for me. Even when I confront her, she messages me short phrases to try to get in my head. If I try to fight back, she will ruin me.",,mostly target social medium bullying use much bad still comment vague meant even confront message short phrase try head try fight back ruin
1001,Social Relationships,It's really hard to not have negative feelings about friends who don't put any effort into nourishing our relationship.,,really hard negative feeling friend put effort nourish relationship
1002,Social Relationships,I'm having problems shutting them out and putting up walls.,,problem shut put wall
1003,Social Relationships,"I'm having a quinceaÃƒÂ±era, and the girls don't like their dresses. They never told me, and now it's a week away. I don't know what to do.",,quinceaãƒâ±era girl dress never told week away
1004,Social Relationships,I would like to be able to have more positive relationships in the present.,,able positive relationship present
1005,Social Relationships,"In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when in reality I'm the one being unreasonable and I am simply annoying my reasonable friends. Or are they really being insensitive and not respecting me in our friendship?",,argument friend wonder exaggerate feeling feel attack make blow thing proportion take role victim reality unreasonable simply annoy reasonable friend really insensitive respect friendship
1006,Social Relationships,They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being called names. What should I do?,,'re call name hypocrite baby even act manner tire call name
1007,Sleep Improvement,"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. ",,lot issue right first lot trouble sleep time night sleep much still feel quite tire
1008,Sleep Improvement,I have been having a lot of nightmares where I am being killed in different ways. I either wake up in a panic or just crying and sweating. It has made me terrified of falling asleep and is now affecting my daily life too. Can I make the nightmares stop?,,lot nightmare kill different way either wake panic cry sweat make terrify fall asleep affect daily life make nightmare stop
1009,Sleep Improvement,It's especially bad at night time. I am scared of sleeping alone.,,especially bad night time scar sleep alone
1010,Sleep Improvement,I just about fall asleep then I can't help but sit up and walk around.,,fall asleep help sit walk around
1011,Sleep Improvement,"  I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I",,lay awake night think conversation head almost always end make feel terrible cry
1012,Self-esteem,"I am a really shy person. I'm currently in a graduate program which requires lots of presentations, but they always make me feel stressed out and less confident. How can I get more confident?",,really shy person currently graduate program require lot presentation always make feel stress less confident confident
1013,Workplace issues,I've been like this ever since I was in school; back then I transferred to another school. Now I'm thinking about changing my job.,,'ve ever since school back transfer another school think change job
1014,Workplace issues,"My boss took over some work I'd begun. Concerned that she had doubts about my work, i asked her for feedback. I assured her that I did my utmost for customer service, and asked if I was deficient. She then said this was me being co-dependent.",,bos take work begin concerned doubt work ask feedback assure utmost customer service ask deficient co-dependent
1015,Workplace issues,"I am in a high stress position for a tech company. I am being overworked and underpaid for my contributions and it is not only giving me anxiety, but also demoralizing.",,high stress position tech company overwork underpaid contribution give anxiety demoralize
1016,Workplace issues,"I'm a teenager, and I just got my first job. I am a month and a half in. Yesterday, my boss pushed me to the point where I had to go to the restroom and cry. She didn't see me, and I'm glad, but when I went to talk to her about it today, I let a tear or two come out. I hate it. I feel like they're not going to keep me anymore.",,teenager get first job month half yesterday bos push point restroom cry see glad talk today tear come hate feel 're keep anymore
1017,Workplace issues,"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it up. Can my employer make me see a therapist of their choice?",,coworkers make false statement bos say mood swing proof back employer make see therapist choice
1018,Trauma/Grief/Loss,"I just lost my grandpa and i'm having a rough time with it.    I need some help to deal with the loss, but I donÃ¢â‚¬â„¢t think I can pay for counseling. Where Can I get help?",,lose grandpa rough time need help deal loss donã¢â‚¬â think pay counsel help
1019,Trauma/Grief/Loss,My grandma and brother both passed away 11 years ago and sometimes at night I just can't stop crying while thinking about the good memories we had but won't have ever again. I can't sleep at night when the memories and tears come I'll be fine all day then at night...boom! it's like waterfalls from my eyes. Why can't I stop crying?,,grandma brother pass away year ago sometimes night stop cry think good memory ever sleep night memory tear come 'll fine day night ... boom waterfall eye stop cry
1020,Trauma/Grief/Loss,"Last year, I just always felt hopeless. I don't have a great relationship with my sister. I lost my mother recently, and that really added to my sadness. My sister always brings up how I was never close to my mother.",,last year always felt hopeless great relationship sister lose mother recently really add sadness sister always brings never close mother
1021,Trauma/Grief/Loss,The past always feels much brighter and more beautiful than my present. Everything about what's gone feels so amazing; almost like I'm high off nostalgia. But in the end it just makes me feel sadder knowing that all of the memories (and a close friend that left me) are gone forever. How do I move past that and live more in the present?,,past always feel much brighter beautiful present everything feel amaze almost high nostalgia end make feel sadder know memory close friend left forever move past live present
1022,Trauma/Grief/Loss,"I spent my whole life taking care of my dad, but left because of his verbally abusive behavior. I was the only one that helped with his health issues. I feel if I hadn't left he might still be alive. I need help dealing with my grief and guilty conscience.",,spent whole life take care dad left verbally abusive behavior help health issue feel left might still alive need help deal grief guilty conscience
1023,Trauma/Grief/Loss,"My wife is trying to leave. She agreed to come back and give me a little time. Even said she hopes I can do it. We buried our first born in Jan 13 years ago. She never got past it. So every year around this time, she gets emotional and says she doesn't think she loves me, but then we go back to normal. This time, another guy came in and showed her attention. I'll forgive the cheating if she'll come home.",,try leave agree come back give little time even hope bury first born year ago never get past every year around time get emotional say think love back normal time another guy come show attention 'll forgive cheat 'll come home
1024,Trauma/Grief/Loss,I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our apartment. I'm not handling it well. I moved to a new town and started a new life but nothing helps.,,love anything pass away anniversary day apply apartment handle well move new town start new life nothing help
1025,Trauma/Grief/Loss,What can I do to stop grieving my motherÃ¢â‚¬â„¢s death? When I am awake I just cry every day. I don't have anyone to talk to. I need help; I am still cry over her. Will I ever stop crying? ItÃ¢â‚¬â„¢s been 3 years.,,stop grieve motherã¢â‚¬â death awake cry every day anyone talk need help still cry ever stop cry itã¢â‚¬â year
1026,LGBTQ,"After 40 years of being straight, how could I now find myself interested in people of the same sex? I have had a few same sex encounters of my own doing.",,year straight could find interested people sex sex encounter
1027,LGBTQ,"I'm a girl, and I can't tell whether I'm bisexual or gay. I like girls a little more than boys, but I don't really know.",,tell whether bisexual gay girl little boy really
1028,LGBTQ,I was born a girl. I look like a boy. I sometimes feel like a different variation of gender. I don't know what to say if someone asks my gender. I just get really confused and usually say my birth gender.,,born look sometimes feel different variation gender say someone asks gender really confuse usually say birth gender
1029,LGBTQ,"I've been going through a rough time lately. I been into nothing but women. IÃ¢â‚¬â„¢ve never thought about men until a week ago. IÃ¢â‚¬â„¢m very upset and depressed about this. It's not normal to me. I looked at gay porn more than once to prove that IÃ¢â‚¬â„¢m not gay. I get the same results each time, and I feel disgust. This is tough on me. I'm scared that I looked too many times. I keep thinking about it and shake all the time.",,'ve rough time lately nothing woman iã¢â‚¬â ¢ve never thought men week ago iã¢â‚¬â upset depressed normal look gay porn prove iã¢â‚¬â gay result time feel disgust tough scar look many time keep think shake time
1030,LGBTQ,"I am a heterosexual male in my late 20s. I find myself wearing pantyhose, heels, skirts and other women's clothing in private. I am torn on how to feel about it. I enjoy it very much. I have had a pantyhose/stocking fascination and other kinky fetish interests since I was young. I have no history of sexual abuse growing up. I am currently single.",,heterosexual male late find wear pantyhose heel skirt woman clothing private torn feel enjoy much pantyhose/stocking fascination kinky fetish interest since young history sexual abuse grow currently single
1031,LGBTQ,I have always wanted to have a transition from male to female for some time now. This issue has persisted for 10 years already but I don't know where to start. I do not have the soundest information either.,,always want transition male female time issue persist year already start soundest information either
1032,LGBTQ,"In middle school and high school, my friends and family thought I was gay. I tried telling them, but they wouldnÃ¢â‚¬â„¢t believe me. It almost feels like they wanted me to be. Now IÃ¢â‚¬â„¢m actually starting to believe them. I know I wasnÃ¢â‚¬â„¢t back then, and now IÃ¢â‚¬â„¢m not sure anymore.",,middle school high school friend family thought gay try tell wouldnã¢â‚¬â believe almost feel want iã¢â‚¬â actually start believe wasnã¢â‚¬â back iã¢â‚¬â sure anymore
1033,LGBTQ,"I'm a guy. If I don't like girls, nor do I like guys, does that mean I'm gay?",,guy girl guy mean gay
1034,LGBTQ,"I'm transgender, I know I am, but I've only told a few friends. I know I can't tell my family because of previous conversations we've had. They just wouldn't accept it.
 My gender dysphoria is getting really difficult to deal with on my own. I need some strategies for dealing with it. What should I do?",,transgender 've told friend tell family previous conversation 've accept gender dysphoria get really difficult deal need strategy deal
